VulnerabilityID,PkgName,InstalledVersion,SeveritySource,PrimaryURL,Title,Description,Severity,CweIDs,References,PublishedDate,LastModifiedDate,Layer.DiffID,DataSource.ID,DataSource.Name,DataSource.URL,CVSS.nvd.V2Vector,CVSS.nvd.V3Vector,CVSS.nvd.V2Score,CVSS.nvd.V3Score,CVSS.redhat.V3Vector,CVSS.redhat.V3Score,CVSS.redhat.V2Vector,CVSS.redhat.V2Score,VendorIDs,FixedVersion
CVE-2011-3374,apt,2.2.4,debian,https://avd.aquasec.com/nvd/cve-2011-3374,"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack.",LOW,['CWE-347'],"['https://access.redhat.com/security/cve/cve-2011-3374', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642480', 'https://people.canonical.com/~ubuntu-security/cve/2011/CVE-2011-3374.html', 'https://seclists.org/fulldisclosure/2011/Sep/221', 'https://security-tracker.debian.org/tracker/CVE-2011-3374', 'https://snyk.io/vuln/SNYK-LINUX-APT-116518', 'https://ubuntu.com/security/CVE-2011-3374']",2019-11-26T00:15:00Z,2021-02-09T16:08:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:M/Au:N/C:N/I:P/A:N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,4.3,3.7,,,,,,
CVE-2022-0563,bsdutils,2.36.1-8+deb11u1,debian,https://avd.aquasec.com/nvd/cve-2022-0563,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.",LOW,['CWE-209'],"['https://access.redhat.com/security/cve/CVE-2022-0563', 'https://lore.kernel.org/util-linux/20220214110609.msiwlm457ngoic6w@ws.net.home/T/#u', 'https://nvd.nist.gov/vuln/detail/CVE-2022-0563', 'https://security.netapp.com/advisory/ntap-20220331-0002/']",2022-02-21T19:15:00Z,2022-06-03T14:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:L/AC:M/Au:N/C:P/I:N/A:N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,1.9,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,,,,
CVE-2016-2781,coreutils,8.32-4,debian,https://avd.aquasec.com/nvd/cve-2016-2781,coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",LOW,['CWE-20'],"['http://seclists.org/oss-sec/2016/q1/452', 'http://www.openwall.com/lists/oss-security/2016/02/28/2', 'http://www.openwall.com/lists/oss-security/2016/02/28/3', 'https://access.redhat.com/security/cve/CVE-2016-2781', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-2781', 'https://lists.apache.org/thread.html/rf9fa47ab66495c78bb4120b0754dd9531ca2ff0430f6685ac9b07772@%3Cdev.mina.apache.org%3E', 'https://lore.kernel.org/patchwork/patch/793178/', 'https://nvd.nist.gov/vuln/detail/CVE-2016-2781']",2017-02-07T15:59:00Z,2021-02-25T17:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:L/AC:L/Au:N/C:N/I:P/A:N,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:H/A:N,2.1,6.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,AV:L/AC:H/Au:N/C:C/I:C/A:C,6.2,,
CVE-2017-18018,coreutils,8.32-4,debian,https://avd.aquasec.com/nvd/cve-2017-18018,coreutils: race condition vulnerability in chown and chgrp,"In GNU Coreutils through 8.29, chown-core.c in chown and chgrp does not prevent replacement of a plain file with a symlink during use of the POSIX ""-R -L"" options, which allows local users to modify the ownership of arbitrary files by leveraging a race condition.",LOW,['CWE-362'],"['http://lists.gnu.org/archive/html/coreutils/2017-12/msg00045.html', 'https://access.redhat.com/security/cve/CVE-2017-18018']",2018-01-04T04:29:00Z,2018-01-19T15:46:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:L/AC:M/Au:N/C:N/I:P/A:N,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,1.9,4.7,CVSS:3.0/AV:L/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:L,4.2,,,,
CVE-2022-1304,e2fsprogs,1.46.2-2,nvd,https://avd.aquasec.com/nvd/cve-2022-1304,e2fsprogs: out-of-bounds read/write via crafted filesystem,An out-of-bounds read/write vulnerability was found in e2fsprogs 1.46.5. This issue leads to a segmentation fault and possibly arbitrary code execution via a specially crafted filesystem.,HIGH,"['CWE-125', 'CWE-787']","['https://access.redhat.com/security/cve/CVE-2022-1304', 'https://bugzilla.redhat.com/show_bug.cgi?id=2069726', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-1304', 'https://marc.info/?l=linux-ext4&m=165056234501732&w=2', 'https://nvd.nist.gov/vuln/detail/CVE-2022-1304', 'https://ubuntu.com/security/notices/USN-5464-1']",2022-04-14T21:15:00Z,2022-04-21T15:36:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8,7.8,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:H,5.8,,,,
CVE-2022-34903,gpgv,2.2.27-2+deb11u1,nvd,https://avd.aquasec.com/nvd/cve-2022-34903,gpg: Signature spoofing via status line injection,"GnuPG through 2.3.6, in unusual situations where an attacker possesses any secret-key information from a victim's keyring and other constraints (e.g., use of GPGME) are met, allows signature forgery via injection into the status line.",MEDIUM,['CWE-74'],"['http://www.openwall.com/lists/oss-security/2022/07/02/1', 'https://access.redhat.com/security/cve/CVE-2022-34903', 'https://bugs.debian.org/1014157', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-34903', 'https://dev.gnupg.org/T6027', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/FRLWJQ76A4UKHI3Q36BKSJKS4LFLQO33/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/NPTAR76EIZY7NQFENSOZO7U473257OVZ/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/VN63GBTMRWO36Y7BKA2WQHROAKCXKCBL/', 'https://nvd.nist.gov/vuln/detail/CVE-2022-34903', 'https://ubuntu.com/security/notices/USN-5503-1', 'https://ubuntu.com/security/notices/USN-5503-2', 'https://www.debian.org/security/2022/dsa-5174', 'https://www.openwall.com/lists/oss-security/2022/06/30/1']",2022-07-01T22:15:00Z,2022-07-28T03:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:M/Au:N/C:P/I:P/A:N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N,5.8,6.5,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9,,,['DSA-5174-1'],2.2.27-2+deb11u2
CVE-2011-3374,libapt-pkg6.0,2.2.4,debian,https://avd.aquasec.com/nvd/cve-2011-3374,"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack.",LOW,['CWE-347'],"['https://access.redhat.com/security/cve/cve-2011-3374', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642480', 'https://people.canonical.com/~ubuntu-security/cve/2011/CVE-2011-3374.html', 'https://seclists.org/fulldisclosure/2011/Sep/221', 'https://security-tracker.debian.org/tracker/CVE-2011-3374', 'https://snyk.io/vuln/SNYK-LINUX-APT-116518', 'https://ubuntu.com/security/CVE-2011-3374']",2019-11-26T00:15:00Z,2021-02-09T16:08:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:M/Au:N/C:N/I:P/A:N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,4.3,3.7,,,,,,
CVE-2022-0563,libblkid1,2.36.1-8+deb11u1,debian,https://avd.aquasec.com/nvd/cve-2022-0563,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.",LOW,['CWE-209'],"['https://access.redhat.com/security/cve/CVE-2022-0563', 'https://lore.kernel.org/util-linux/20220214110609.msiwlm457ngoic6w@ws.net.home/T/#u', 'https://nvd.nist.gov/vuln/detail/CVE-2022-0563', 'https://security.netapp.com/advisory/ntap-20220331-0002/']",2022-02-21T19:15:00Z,2022-06-03T14:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:L/AC:M/Au:N/C:P/I:N/A:N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,1.9,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,,,,
CVE-2021-3999,libc-bin,2.31-13+deb11u3,,https://avd.aquasec.com/nvd/cve-2021-3999,glibc: Off-by-one buffer overflow/underflow in getcwd(),A flaw was found in glibc. An off-by-one buffer overflow and underflow in getcwd() may lead to memory corruption when the size of the buffer is exactly 1. A local attacker who can control the input buffer and size passed to getcwd() in a setuid program could use this flaw to potentially execute arbitrary code and escalate their privileges on the system.,HIGH,,"['https://access.redhat.com/hydra/rest/securitydata/cve/CVE-2021-3999.json', 'https://access.redhat.com/security/cve/CVE-2021-3999', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3999', 'https://linux.oracle.com/cve/CVE-2021-3999.html', 'https://linux.oracle.com/errata/ELSA-2022-9234.html', 'https://ubuntu.com/security/notices/USN-5310-1', 'https://ubuntu.com/security/notices/USN-5310-2', 'https://www.openwall.com/lists/oss-security/2022/01/24/4']",,,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,,,,,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,7.4,,,,
CVE-2010-4756,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2010-4756,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,"The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in STAT commands to an FTP daemon, a different vulnerability than CVE-2010-2632.",LOW,['CWE-399'],"['http://cxib.net/stuff/glob-0day.c', 'http://securityreason.com/achievement_securityalert/89', 'http://securityreason.com/exploitalert/9223', 'https://access.redhat.com/security/cve/CVE-2010-4756', 'https://bugzilla.redhat.com/show_bug.cgi?id=681681', 'https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2010-4756', 'https://nvd.nist.gov/vuln/detail/CVE-2010-4756']",2011-03-02T20:00:00Z,2021-09-01T12:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:S/C:N/I:N/A:P,,4.0,,,,AV:N/AC:L/Au:N/C:N/I:N/A:P,5.0,,
